date,year,month,snowfall
1940-01,1940,1,29.7
1940-02,1940,2,38.9
1940-03,1940,3,35.1
1940-04,1940,4,10.4
1940-05,1940,5,0
1940-06,1940,6,0
1940-07,1940,7,0
1940-08,1940,8,0
1940-09,1940,9,0
1940-10,1940,10,0
1940-11,1940,11,42.2
1940-12,1940,12,11.9
1941-01,1941,1,41.7
1941-02,1941,2,27.4
1941-03,1941,3,26.2
1941-04,1941,4,0
1941-05,1941,5,0
1941-06,1941,6,0
1941-07,1941,7,0
1941-08,1941,8,0
1941-09,1941,9,0
1941-10,1941,10,0
1941-11,1941,11,0
1941-12,1941,12,16
1942-01,1942,1,11.9
1942-02,1942,2,33.5
1942-03,1942,3,14.2
1942-04,1942,4,14
1942-05,1942,5,0
1942-06,1942,6,0
1942-07,1942,7,0
1942-08,1942,8,0
1942-09,1942,9,0
1942-10,1942,10,0
1942-11,1942,11,14.5
1942-12,1942,12,37.1
1943-01,1943,1,68.3
1943-02,1943,2,20.3
1943-03,1943,3,23.9
1943-04,1943,4,20.3
1943-05,1943,5,0
1943-06,1943,6,0
1943-07,1943,7,0
1943-08,1943,8,0
1943-09,1943,9,0
1943-10,1943,10,0
1943-11,1943,11,4.1
1943-12,1943,12,2.8
1944-01,1944,1,6.6
1944-02,1944,2,49.5
1944-03,1944,3,30
1944-04,1944,4,17
1944-05,1944,5,0
1944-06,1944,6,0
1944-07,1944,7,0
1944-08,1944,8,0
1944-09,1944,9,0
1944-10,1944,10,0
1944-11,1944,11,10.7
1944-12,1944,12,92.5
1945-01,1945,1,45.7
1945-02,1945,2,30.2
1945-03,1945,3,3.3
1945-04,1945,4,10.9
1945-05,1945,5,0
1945-06,1945,6,0
1945-07,1945,7,0
1945-08,1945,8,0
1945-09,1945,9,0
1945-10,1945,10,0
1945-11,1945,11,12.7
1945-12,1945,12,18.5
1946-01,1946,1,56.6
1946-02,1946,2,54.6
1946-03,1946,3,1.5
1946-04,1946,4,3.3
1946-05,1946,5,0
1946-06,1946,6,0
1946-07,1946,7,0
1946-08,1946,8,0
1946-09,1946,9,0
1946-10,1946,10,0
1946-11,1946,11,13
1946-12,1946,12,24.1
1947-01,1947,1,59.9
1947-02,1947,2,25.1
1947-03,1947,3,36.6
1947-04,1947,4,12.7
1947-05,1947,5,0.5
1947-06,1947,6,0
1947-07,1947,7,0
1947-08,1947,8,0
1947-09,1947,9,0
1947-10,1947,10,0
1947-11,1947,11,13
1947-12,1947,12,34.5
1948-01,1948,1,37.1
1948-02,1948,2,48.5
1948-03,1948,3,16.3
1948-04,1948,4,0.3
1948-05,1948,5,0
1948-06,1948,6,0
1948-07,1948,7,0
1948-08,1948,8,0
1948-09,1948,9,0
1948-10,1948,10,0
1948-11,1948,11,0
1948-12,1948,12,42.2
1949-01,1949,1,21.8
1949-02,1949,2,30.5
1949-03,1949,3,32.5
1949-04,1949,4,1.3
1949-05,1949,5,0
1949-06,1949,6,0
1949-07,1949,7,0
1949-08,1949,8,0
1949-09,1949,9,0
1949-10,1949,10,0
1949-11,1949,11,22.6
1949-12,1949,12,10.9
1950-01,1950,1,41.7
1950-02,1950,2,70.9
1950-03,1950,3,29.7
1950-04,1950,4,1.8
1950-05,1950,5,0
1950-06,1950,6,0
1950-07,1950,7,0
1950-08,1950,8,0
1950-09,1950,9,0
1950-10,1950,10,0
1950-11,1950,11,57.2
1950-12,1950,12,3.6
1951-01,1951,1,28.7
1951-02,1951,2,20.8
1951-03,1951,3,23.9
1951-04,1951,4,0
1951-05,1951,5,0
1951-06,1951,6,0
1951-07,1951,7,0
1951-08,1951,8,0
1951-09,1951,9,0
1951-10,1951,10,0
1951-11,1951,11,34
1951-12,1951,12,71.1
1952-01,1952,1,45.5
1952-02,1952,2,19.1
1952-03,1952,3,7.9
1952-04,1952,4,0.3
1952-05,1952,5,0
1952-06,1952,6,0
1952-07,1952,7,0
1952-08,1952,8,0
1952-09,1952,9,0
1952-10,1952,10,2.3
1952-11,1952,11,0
1952-12,1952,12,9.1
1953-01,1953,1,16
1953-02,1953,2,19.1
1953-03,1953,3,0.3
1953-04,1953,4,0
1953-05,1953,5,0
1953-06,1953,6,0
1953-07,1953,7,0
1953-08,1953,8,0
1953-09,1953,9,0
1953-10,1953,10,0
1953-11,1953,11,16.8
1953-12,1953,12,14.5
1954-01,1954,1,37.1
1954-02,1954,2,36.8
1954-03,1954,3,30.5
1954-04,1954,4,0
1954-05,1954,5,0
1954-06,1954,6,0
1954-07,1954,7,0
1954-08,1954,8,0
1954-09,1954,9,0
1954-10,1954,10,0
1954-11,1954,11,2.8
1954-12,1954,12,24.1
1955-01,1955,1,31.2
1955-02,1955,2,35.8
1955-03,1955,3,32
1955-04,1955,4,0
1955-05,1955,5,0
1955-06,1955,6,0
1955-07,1955,7,0
1955-08,1955,8,0
1955-09,1955,9,0
1955-10,1955,10,0
1955-11,1955,11,6.1
1955-12,1955,12,44.7
1956-01,1956,1,36.3
1956-02,1956,2,30
1956-03,1956,3,44.5
1956-04,1956,4,12.2
1956-05,1956,5,0
1956-06,1956,6,0
1956-07,1956,7,0
1956-08,1956,8,0
1956-09,1956,9,0
1956-10,1956,10,0
1956-11,1956,11,7.6
1956-12,1956,12,22.1
1957-01,1957,1,42.2
1957-02,1957,2,31
1957-03,1957,3,11.9
1957-04,1957,4,17.8
1957-05,1957,5,0
1957-06,1957,6,0
1957-07,1957,7,0
1957-08,1957,8,0
1957-09,1957,9,0
1957-10,1957,10,0
1957-11,1957,11,0.5
1957-12,1957,12,11.9
1958-01,1958,1,32.8
1958-02,1958,2,19.6
1958-03,1958,3,10.2
1958-04,1958,4,4.6
1958-05,1958,5,0
1958-06,1958,6,0
1958-07,1958,7,0
1958-08,1958,8,0
1958-09,1958,9,0
1958-10,1958,10,0
1958-11,1958,11,28.2
1958-12,1958,12,25.4
1959-01,1959,1,28.2
1959-02,1959,2,46.7
1959-03,1959,3,36.8
1959-04,1959,4,0
1959-05,1959,5,0.5
1959-06,1959,6,0
1959-07,1959,7,0
1959-08,1959,8,0
1959-09,1959,9,0
1959-10,1959,10,0
1959-11,1959,11,15.5
1959-12,1959,12,21.3
1960-01,1960,1,63.5
1960-02,1960,2,63
1960-03,1960,3,42.4
1960-04,1960,4,5.3
1960-05,1960,5,0
1960-06,1960,6,0
1960-07,1960,7,0
1960-08,1960,8,0
1960-09,1960,9,0
1960-10,1960,10,0
1960-11,1960,11,1.8
1960-12,1960,12,14.7
1961-01,1961,1,26.4
1961-02,1961,2,30.2
1961-03,1961,3,42.2
1961-04,1961,4,15
1961-05,1961,5,0
1961-06,1961,6,0
1961-07,1961,7,0
1961-08,1961,8,0
1961-09,1961,9,0
1961-10,1961,10,0
1961-11,1961,11,3.8
1961-12,1961,12,15.2
1962-01,1962,1,26.7
1962-02,1962,2,62
1962-03,1962,3,2.5
1962-04,1962,4,5.3
1962-05,1962,5,0
1962-06,1962,6,0
1962-07,1962,7,0
1962-08,1962,8,0
1962-09,1962,9,0
1962-10,1962,10,2
1962-11,1962,11,1.8
1962-12,1962,12,24.4
1963-01,1963,1,19.6
1963-02,1963,2,16.3
1963-03,1963,3,20.1
1963-04,1963,4,13.2
1963-05,1963,5,1.8
1963-06,1963,6,0
1963-07,1963,7,0
1963-08,1963,8,0
1963-09,1963,9,0
1963-10,1963,10,0
1963-11,1963,11,1.3
1963-12,1963,12,49.5
1964-01,1964,1,15.7
1964-02,1964,2,33.8
1964-03,1964,3,32.3
1964-04,1964,4,10.2
1964-05,1964,5,0
1964-06,1964,6,0
1964-07,1964,7,0
1964-08,1964,8,0
1964-09,1964,9,0
1964-10,1964,10,0
1964-11,1964,11,3.3
1964-12,1964,12,23.9
1965-01,1965,1,55.4
1965-02,1965,2,41.9
1965-03,1965,3,47
1965-04,1965,4,10.4
1965-05,1965,5,0
1965-06,1965,6,0
1965-07,1965,7,0
1965-08,1965,8,0
1965-09,1965,9,0
1965-10,1965,10,1.3
1965-11,1965,11,3.6
1965-12,1965,12,15
1966-01,1966,1,70.9
1966-02,1966,2,13.5
1966-03,1966,3,13.5
1966-04,1966,4,24.6
1966-05,1966,5,1.3
1966-06,1966,6,0
1966-07,1966,7,0
1966-08,1966,8,0
